"","RK","NAME","TEAM","SALARY","POSITION"
"1","1","Stephen Curry","Golden State Warriors",48070014," PG"
"2","2","Russell Westbrook","Los Angeles Lakers",47063478," PG"
"3","3","LeBron James","Los Angeles Lakers",44474988," SF"
"4","4","Kevin Durant","Brooklyn Nets",44119845," PF"
"5","5","Bradley Beal","Washington Wizards",43279250," SG"
"6","6","Damian Lillard","Portland Trail Blazers",42492492," PG"
"7","7","Giannis Antetokounmpo","Milwaukee Bucks",42492492," PF"
"8","8","Kawhi Leonard","LA Clippers",42492492," SF"
"9","9","Paul George","LA Clippers",42492492," SG"
"10","10","Klay Thompson","Golden State Warriors",40600080," SG"
"11","11","Rudy Gobert","Minnesota Timberwolves",38172414," C"
"12","12","Anthony Davis","Los Angeles Lakers",37980720," PF"
"13","13","Khris Middleton","Milwaukee Bucks",37948276," SF"
"14","14","Jimmy Butler","Miami Heat",37653300," SF"
"15","15","Tobias Harris","Philadelphia 76ers",37633050," PF"
"16","16","Zach LaVine","Chicago Bulls",37096500," SG"
"17","17","Luka Doncic","Dallas Mavericks",37095000," PG"
"18","18","Trae Young","Atlanta Hawks",37095000," PG"
"19","19","Kyrie Irving","Brooklyn Nets",36934550," PG"
"20","20","Pascal Siakam","Toronto Raptors",35448672," PF"
"21","21","Ben Simmons","Brooklyn Nets",35448672," PG"
"22","22","Kristaps Porzingis","Washington Wizards",33833400," C"
"23","23","Devin Booker","Phoenix Suns",33833400," SG"
"24","24","Karl-Anthony Towns","Minnesota Timberwolves",33833400," C"
"25","25","Jrue Holiday","Milwaukee Bucks",33665040," PG"
"26","26","Joel Embiid","Philadelphia 76ers",33616770," C"
"27","27","Andrew Wiggins","Golden State Warriors",33616770," SF"
"28","28","CJ McCollum","New Orleans Pelicans",33333333," SG"
"29","29","Nikola Jokic","Denver Nuggets",33047804," C"
"30","30","James Harden","Philadelphia 76ers",3.3e+07," SG"
"31","31","Brandon Ingram","New Orleans Pelicans",31650600," SF"
"32","32","Jamal Murray","Denver Nuggets",31650000," PG"
"33","33","D'Angelo Russell","Minnesota Timberwolves",31377750," PG"
"34","34","Shai Gilgeous-Alexander","Oklahoma City Thunder",30913750," PG"
