n,Name,Birthday
1,Abdelkader El Mouaziz,1969-01-01
2,Abel Antón,1962-10-24
3,Allister Hutton,1954-07-18
4,Amanda McGrory,1986-06-09
5,Amos Kipruto,1992-09-16
6,António Pinto,1966-03-22
7,Aselefech Mergia,1985-01-23
8,Brent Lakatos,1980-06-01
9,Brigid Kosgei,1994-02-20
10,Catherina McKiernan,1969-11-30
11,Charlie Spedding,1952-05-19
12,Chris Hallam,1962-12-31
13,Connie Hansen,1964-05-29
14,Daniel Romanchuk,1998-08-03
15,Daniel Wanjiru,1992-05-26
16,Daniel Wesley,1960-03-29
17,David Holding,1968
18,David Weir,1979-06-05
19,Deena Kastor,1973-02-14
20,Denis Lemeunier,1965-02-12
21,Denise Smith,NA
22,Derartu Tulu,1972-03-21
23,Dick Beardsley (Tie),1956-03-21
24,Dionicio Cerón,1965-10-09
25,Douglas Wakiihuri,1963-09-26
26,Eamonn Martin,1958-10-09
27,Edna Kiplagat,1979-11-15
28,Eliud Kipchoge,1984-11-05
29,Emmanuel Kipchirchir Mutai,1984-10-12
30,Evans Rutto,1978-04-08
31,Farid Amarouche,NA
32,Felix Limo,1980-08-22
33,Francesca Porcellato,1970-09-05
34,George Vandamme,NA
35,Gerry O'Rourke,NA
36,Gezahegne Abera,1978-04-23
37,Gordon Perry,NA
38,Grete Waitz,1953-10-01
39,Håkan Ericsson,1969
40,Heinz Frei,1958-01-28
41,Henrik Jørgensen,1961-10-10
42,Hiromi Taniguchi,1960-04-05
43,Hugh Jones,1955-11-01
44,Inge Simonsen (Tie),1953-07-01
45,Ingrid Kristiansen,1956-03-21
46,Irina Mikitenko,1972-08-23
47,Jemima Sumgong,1984-12-21
48,Joël Jeannot,1965-09-23
49,Josh Cassidy,1984-11-15
50,Josh George,1984-03-18
51,Josie Cichockyj,1964-12-09
52,Joyce Chepchumba,1970-11-06
53,Joyce Smith,1937-10-26
54,Joyciline Jepkosgei,1993-12-08
55,Karen Davidson,NA
56,Katrin Dörre-Heinig,1961-10-06
57,Kay McShane,1948
58,Kelvin Kiptum,1999-12-02
59,Kevin Breen,NA
60,Kevin Papworth,NA
61,Khalid Khannouchi,1971-09-12
62,Kurt Fearnley,1981-03-23
63,Liz McColgan,1964-05-24
64,Madison de Rozario,1993-11-24
65,Małgorzata Sobańska,1969-04-25
66,Manuela Schär,1984-12-05
67,Marcel Hug,1986-01-16
68,Margaret Okayo,1976-05-30
69,Martin Lel,1978-10-29
70,Mary Jepkosgei Keitany,1982-01-18
71,Mike Gratton,1954-11-28
72,Monica Wetterström,1956-07-21
73,Nikita den Boer,1991-01-08
74,Paula Radcliffe,1973-12-17
75,Priscah Jeptoo,1984-06-26
76,Rosa Mota,1958-06-29
77,Rosa Hill,NA
78,Samuel Wanjiru,1986-11-10
79,Sandra Graf,1969-12-09
80,Sarah Piercy,1981
81,Saúl Mendoza,1967-01-06
82,Shelly Woods,1986-06-04
83,Shura Kitata Tola,1996-06-09
84,Sifan Hassan,1993-01-01
85,Sisay Lemma,1990-12-12
86,Steve Jones,1955-08-04
87,Tanni Grey-Thompson,1969-07-26
88,Tatyana McFadden,1989-04-21
89,Ted Vince,NA
90,Tegla Loroupe,1979-12-09
91,Tigist Tufa,1987-01-26
92,Toshihiko Seko,1956-07-15
93,Tsegaye Kebede,1987-01-15
94,Véronique Marot,1955-09-16
95,Vivian Cheruiyot,1983-09-11
96,Wakako Tsuchida,1974-10-15
97,Wanda Panfil,1959-01-26
98,Wilson Kipsang Kiprotich,1982-03-15
99,Yakov Tolstikov,1959-05-20
100,Yalemzerf Yehualaw,1999-08-03
101,Zhou Chunxiu,1978-11-15
